A128,A129,A130,A154,A347,A361,A362,PMI,fl.5yr.postPML,fl.yr1,fl.yr2,fl.yr3,fl.yr4,fl.yr5,fl.pre.5cell,forest.pre,pop.den.5km.pre,dist.disturb.pre,id,distance,weights,x,y,long,lat
16327,1077,375,1,0,656.3143311,16.7959843,0,0,0,0,0,0,0,22401.9995652,851618,0.629684501228313,7648,two4624,0.0161032436894617,0.719734660033168,868900,9770371,-77.6844939470997,-2.07401623814724
18554,3681,836,1,0,620,0,0,4870,0,974,0,3896,0,56491.9995118,764621,1.40468081043239,3934,two6407,0.00124920672910457,0.719734660033168,869827,9757387,-77.6759156210004,-2.19127496131378
12880,3474,6517,1,1,698.6484985,4.9231901,0,7792,0,3896,0,2922,974,13636.0003052,851618,1.01718265583035,5641,two6544,0.0513568859718721,0.719734660033168,862407,9756459,-77.742515428676,-2.19979974029292
23093,2175,3906,1,0,632.4539185,7.2604136,0,6818,3896,2922,0,0,0,7792,860220,0.290623615951529,1311,two6848,0.00476150185385416,0.719734660033168,873537,9754604,-77.6425519792777,-2.21632992720378
10110,5773,11319,1,1,1241.7957764,13.8636007,0,0,0,0,0,0,0,0,817209,4.89216420185074,11168,two6977,0.0125294413537067,0.719734660033168,855915,9753677,-77.8007562079598,-2.22506046404475
24352,3037,4636,1,0,630.0684204,4.8928766,0,4870,4870,0,0,0,0,974,851618,0.242186346626274,1854,two6997,0.00472029225776345,0.719734660033168,874464,9753677,-77.6342062221894,-2.22468740850237
18119,1281,3694,1,0,580,0,0,7792,2922,0,0,3896,974,16557.9998779,851618,0.387498154602038,5641,two7139,0.00600998784200552,1.43946932006634,866117,9752749,-77.7091316243528,-2.23323476558083
7086,3189,14714,1,0,1194.9000244,1.9294652,0,0,0,0,0,0,0,0,834413,15.4999261840815,4637,two7265,4.16789145789369e-05,0.719734660033168,840148,9751822,-77.942310522925,-2.24212084494356
9385,4620,13397,1,1,1583.8937988,16.2453346,0,0,0,0,0,0,0,0,825811,15.20930256813,11621,two9930,0.00053108270000506,0.719734660033168,834583,9736982,-77.9920060252707,-2.37629598418948
12529,5675,10974,0,1,1149.40625,13.0027628,0,2922,2922,0,0,0,0,0,843015,6.97496678283669,13279,two12009,0.00562231017463047,0.719734660033168,837365,9725852,-77.9667902795355,-2.47679165922301
14344,3939,9612,0,1,1198.6298828,1.8009185,0,0,0,0,0,0,0,0,834413,8.0405867079923,14983,two12011,0.00277078259480613,0.719734660033168,839220,9725852,-77.9501283917935,-2.47675317828291
15065,3636,8318,0,1,1374.5596924,22.4420452,0,0,0,0,0,0,0,1948,834413,7.0718413214872,15547,two12190,0.00542477334809555,0.719734660033168,840148,9724925,-77.9417782786663,-2.48511287824327
28830,5951,6576,0,1,981.3099976,17.2323341,0,0,0,0,0,0,0,974,817209,0.726559039878822,22907,two12746,0.0416580764529054,0.719734660033168,854060,9722142,-77.8167621715552,-2.50994982980426
15863,3687,5326,1,1,1228.0627441,24.8707256,0,0,0,0,0,0,0,0,817209,5.18278781780226,15794,two12913,0.0373608190731489,0.719734660033168,841075,9721215,-77.9333695144269,-2.51860924296986
